"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"232027_at",-1.48435383333333,5.53858275,-12.3227307144761,4.6648280285783e-23,1.2881286488006e-20,41.8810223965141
"206069_s_at",-2.05005733333333,6.5202845,-12.3144530445118,4.88121834168005e-23,1.33440306415678e-20,41.836310842235
"206742_at",-2.8550515,8.75223158333333,-12.311100841781,4.97168514700944e-23,1.35237256424249e-20,41.8182028891192
"206898_at",-1.935574,6.13609166666667,-12.300381555866,5.27239865580192e-23,1.42707126983153e-20,41.7602949657458
"220765_s_at",-1.22492583333333,8.53083225,-12.2707014821911,6.20356586720187e-23,1.67083726004563e-20,41.5999219681314
"236262_at",-1.95267266666667,7.68101433333333,-12.2682720156811,6.28671880882787e-23,1.68493309251306e-20,41.5867923704512
"242332_at",-1.1607,7.37276366666667,-12.2659402205997,6.36757882504381e-23,1.69827986467937e-20,41.5741903023944
"204975_at",-1.69675516666667,11.8657309166667,-12.2565216161514,6.70493323848316e-23,1.7795739068644e-20,41.5232847778206
"205405_at",-1.43757066666667,8.58502066666667,-12.2431973260641,7.21299050739385e-23,1.90517031880077e-20,41.4512612655078
"226380_at",-1.88047383333333,8.30838775,-12.2385494876344,7.39914243955417e-23,1.94494285039723e-20,41.4261353435231
"209841_s_at",-2.1063895,7.68914408333333,-12.2237094010669,8.02634006621627e-23,2.09971360344677e-20,41.3459026543556
"1552767_a_at",3.43025966666667,6.809227,12.2212722908859,8.13431769893901e-23,2.11782771518805e-20,41.3327252807308
"201341_at",1.20237933333333,9.50338783333333,12.2162977196704,8.35925710475204e-23,2.16174201409292e-20,41.3058269137881
"206167_s_at",-2.10154266666667,8.3259815,-12.215800866298,8.38206322794146e-23,2.16174201409292e-20,41.3031402661372
"64064_at",-1.19983816666667,9.50205041666667,-12.2058111882074,8.85405969294989e-23,2.27274982963397e-20,41.2491199282735
"212097_at",-2.212003,12.0265295,-12.2011094870342,9.08533345738718e-23,2.32121778870394e-20,41.2236930283121
"212071_s_at",-1.0625,12.3394866666667,-12.1798875392957,1.02068874117587e-22,2.58361837610142e-20,41.108909193344
"226101_at",-1.45293466666667,8.3114625,-12.1759872080472,1.04276242479215e-22,2.62288995420546e-20,41.0878106736281
"204115_at",-1.81150683333333,10.1113870833333,-12.1754573285464,1.0457979149827e-22,2.62288995420546e-20,41.084944270548
"226056_at",-1.11744616666667,8.41572658333333,-12.1513288587282,1.19382003851189e-22,2.98046167149029e-20,40.9544043555018
"205866_at",-3.40527366666667,9.41504516666667,-12.1490753412242,1.20867354180677e-22,3.00382844992206e-20,40.9422107736
"206170_at",-1.95728383333333,8.58257608333333,-12.1342943190766,1.31079615919834e-22,3.24288597303934e-20,40.8622252836366
"1556325_at",-2.440427,6.60445933333333,-12.1268355620406,1.36556614693074e-22,3.36316797673144e-20,40.8218588433071
"230030_at",3.390935,6.28340783333333,12.1257561874205,1.37367970358758e-22,3.3679792732579e-20,40.8160170760995
"204683_at",-1.27845933333333,9.186574,-12.1143905197107,1.46210194977372e-22,3.56876893320885e-20,40.7545003519138
"228766_at",-3.366812,8.6609185,-12.1129999289291,1.47330473367384e-22,3.57961578984781e-20,40.7469733093843
"231001_at",-2.01163333333333,7.521547,-12.0744440461112,1.82062324504675e-22,4.38513550321281e-20,40.5382367049253
"226713_at",-1.32860716666667,8.81881975,-12.0727092164284,1.83804924068813e-22,4.407690448887e-20,40.5288427666896
"203888_at",-1.96009333333333,9.02637466666667,-12.0685695149956,1.8803096488628e-22,4.48934192364951e-20,40.5064260581837
"241986_at",-1.331984,5.05138616666667,-12.0662372840417,1.90454557744449e-22,4.52743606290337e-20,40.4937965179211
"219836_at",-2.34004133333333,7.1382135,-12.0647002837898,1.92068848399672e-22,4.54604514556368e-20,40.4854731751511
"209529_at",1.90423883333333,7.96721791666667,12.057221660877,2.0012128377566e-22,4.7162203407044e-20,40.4449723629187
